78,G6,FALSE,CR2Apal_36C_160,A,UNKNOWN,SYBR,None,23.212192535400391,23.285736083984375,0.10400493443012238,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93582658181619738,6.0805239677429199,5.3701624870300293,87.664260864257812,,,,N,N,N,N,N
79,G7,FALSE,CR2Apal_36C_160,Apal,UNKNOWN,SYBR,None,19.267656326293945,19.277187347412109,0.013480247929692268,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.94391131087094704,4.4470996856689453,3.7455646991729736,75.009765625,,,,N,N,N,N,N
80,G8,FALSE,CR2Apal_36C_160,A,UNKNOWN,SYBR,None,23.359277725219727,23.285736083984375,0.10400493443012238,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94214897911212414,6.0128974914550781,5.3648419380187988,87.676345825195312,,,,N,N,N,N,N
81,G9,FALSE,CR2Apal_36C_161,Apal,UNKNOWN,SYBR,None,20.311765670776367,20.542472839355469,0.32627055048942566,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94466973508309127,4.5556435585021973,3.9838695526123047,75.0286865234375,,,,N,N,N,N,N
82,G10,FALSE,CR2Apal_36C_161,A,UNKNOWN,SYBR,None,24.58282470703125,25.019407272338867,0.61742097139358521,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95345344294700507,5.930117130279541,5.3982205390930176,87.709518432617188,,,,N,N,Y,N,N
83,G11,FALSE,CR2Apal_36C_161,Apal,UNKNOWN,SYBR,None,20.773181915283203,20.542472839355469,0.32627055048942566,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95332937239207427,4.3720040321350098,3.8452074527740479,75.160987854003906,,,,N,N,N,N,N
84,G12,FALSE,CR2Apal_36C_161,A,UNKNOWN,SYBR,None,25.455989837646484,25.019407272338867,0.61742097139358521,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95895117632938798,5.7484755516052246,5.2823834419250488,87.832939147949219,,,,N,N,Y,N,N
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,No Amp,,0,0.43130612373352051,-0.010081754066050053,92.4293212890625,74.88330078125,62.211170196533203,88.530204772949219,Y,N,N,Y,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.36738064885139465,-0.0081269154325127602,81.428245544433594,74.604789733886719,91.176040649414062,86.859153747558594,Y,Y,N,Y,N
87,H3,FALSE,CR2Apal_36C_162,Apal,UNKNOWN,SYBR,None,20.186067581176758,19.864934921264648,0.45415017008781433,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95160971181119092,4.3188824653625488,3.8190174102783203,74.871757507324219,,,,N,N,N,N,N
88,H4,FALSE,CR2Apal_36C_162,A,UNKNOWN,SYBR,None,24.863491058349609,24.982307434082031,0.16803038120269775,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96031640830212139,5.6986045837402344,5.2352800369262695,87.676399230957031,,,,N,N,N,N,N
89,H5,FALSE,CR2Apal_36C_162,Apal,UNKNOWN,SYBR,None,19.543802261352539,19.864934921264648,0.45415017008781433,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94407970453189238,4.3954977989196777,3.8230619430541992,74.864166259765625,,,,N,N,N,N,N
90,H6,FALSE,CR2Apal_36C_162,A,UNKNOWN,SYBR,None,25.10112190246582,24.982307434082031,0.16803038120269775,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95644820932249619,5.9726910591125488,5.4190840721130371,87.664260864257812,,,,N,N,N,N,N
91,H7,FALSE,CR2Apal_36C_163,Apal,UNKNOWN,SYBR,None,19.913549423217773,20.018840789794922,0.14890313148498535,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.95306224964529596,4.3662600517272949,3.8091790676116943,75.009765625,,,,N,N,N,N,N
92,H8,FALSE,CR2Apal_36C_163,A,UNKNOWN,SYBR,None,24.797348022460938,24.762533187866211,0.049235612154006958,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95093207728025875,5.815216064453125,5.252561092376709,87.676345825195312,,,,N,N,N,N,N
93,H9,FALSE,CR2Apal_36C_163,Apal,UNKNOWN,SYBR,None,20.124130249023438,20.018840789794922,0.14890313148498535,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93013651884960769,4.1806645393371582,3.7712693214416504,75.0286865234375,,,,N,N,N,N,N
94,H10,FALSE,CR2Apal_36C_163,A,UNKNOWN,SYBR,None,24.727718353271484,24.762533187866211,0.049235612154006958,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95343178458109856,5.786384105682373,5.2658767700195312,87.709518432617188,,,,N,N,N,N,N
95,H11,FALSE,+,Apal,UNKNOWN,SYBR,None,28.832429885864258,29.124366760253906,0.41286244988441467,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.94944833921903304,4.0836043357849121,3.5667941570281982,75.021736145019531,,,,N,N,N,N,N
96,H12,FALSE,+,A,UNKNOWN,SYBR,None,14.821530342102051,14.900020599365234,0.11100131273269653,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.97473791709461011,6.6200113296508789,5.8464512825012207,87.693687438964844,,,,N,N,N,N,N
