78,G6,FALSE,CR2Apal_36C_40,A,UNKNOWN,SYBR,None,24.822933197021484,24.608253479003906,0.30360296368598938,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94592120043894035,4.9532208442687988,4.3545598983764648,87.597488403320312,,,,N,N,N,N,N
79,G7,FALSE,CR2Apal_36C_40,Apal,UNKNOWN,SYBR,None,19.784723281860352,19.719326019287109,0.092487044632434845,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93992559741866399,4.4690723419189453,3.833005428314209,74.987579345703125,,,,N,N,N,N,N
80,G8,FALSE,CR2Apal_36C_40,A,UNKNOWN,SYBR,None,24.393573760986328,24.608253479003906,0.30360296368598938,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94084946600318775,5.0556468963623047,4.5531063079833984,87.611618041992188,,,,N,N,N,N,N
81,G9,FALSE,CR2Apal_36C_41,Apal,UNKNOWN,SYBR,None,19.364492416381836,19.457351684570312,0.13132283091545105,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93103451205936771,4.552131175994873,3.8395447731018066,75.148361206054688,,,,N,N,N,N,N
82,G10,FALSE,CR2Apal_36C_41,A,UNKNOWN,SYBR,None,23.475658416748047,23.478389739990234,0.0038640231359750032,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93524207680058857,5.1187286376953125,4.480903148651123,87.647964477539062,,,,N,N,N,N,N
83,G11,FALSE,CR2Apal_36C_41,Apal,UNKNOWN,SYBR,None,19.550210952758789,19.457351684570312,0.13132283091545105,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94408125925097064,4.4126162528991699,3.7525889873504639,75.143905639648438,,,,N,N,N,N,N
84,G12,FALSE,CR2Apal_36C_41,A,UNKNOWN,SYBR,None,23.481122970581055,23.478389739990234,0.0038640231359750032,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94361734502935879,5.1207070350646973,4.5423984527587891,87.776321411132812,,,,N,N,N,N,N
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.48193833231925964,0.00045652122935280204,62.931449890136719,,,,Y,Y,N,N,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.31811976432800293,-0.0037280241958796978,62.089492797851562,,,,Y,Y,N,N,N
87,H3,FALSE,CR2Apal_36C_42,Apal,UNKNOWN,SYBR,None,21.132938385009766,21.110185623168945,0.032177265733480453,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95601462761127476,4.4177274703979492,3.9218282699584961,74.985198974609375,,,,N,N,N,N,N
88,H4,FALSE,CR2Apal_36C_42,A,UNKNOWN,SYBR,None,25.480867385864258,25.336986541748047,0.2034795880317688,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96357581853103291,4.950523853302002,4.5538597106933594,87.606048583984375,,,,N,N,N,N,N
89,H5,FALSE,CR2Apal_36C_42,Apal,UNKNOWN,SYBR,None,21.087432861328125,21.110185623168945,0.032177265733480453,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94534118442179915,4.4252591133117676,3.9155645370483398,74.979812622070312,,,,N,N,N,N,N
90,H6,FALSE,CR2Apal_36C_42,A,UNKNOWN,SYBR,None,25.193103790283203,25.336986541748047,0.2034795880317688,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96617954917411553,4.9224166870117188,4.4755125045776367,87.597488403320312,,,,N,N,N,N,N
91,H7,FALSE,CR2Apal_36C_43,Apal,UNKNOWN,SYBR,None,19.93000602722168,19.938510894775391,0.012026350013911724,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93947774011968532,4.3775277137756348,3.8419914245605469,74.987579345703125,,,,N,N,N,N,N
92,H8,FALSE,CR2Apal_36C_43,A,UNKNOWN,SYBR,None,26.442411422729492,26.413829803466797,0.040419165045022964,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.9647192395012365,4.7317886352539062,4.2717127799987793,87.611618041992188,,,,N,N,N,N,N
93,H9,FALSE,CR2Apal_36C_43,Apal,UNKNOWN,SYBR,None,19.947013854980469,19.938510894775391,0.012026350013911724,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95448001869979437,4.3072628974914551,3.9506759643554688,75.007919311523438,,,,N,N,N,N,N
94,H10,FALSE,CR2Apal_36C_43,A,UNKNOWN,SYBR,None,26.385250091552734,26.413829803466797,0.040419165045022964,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96898535253989782,4.656548023223877,4.2166790962219238,87.647964477539062,,,,N,N,N,N,N
95,H11,FALSE,+,Apal,UNKNOWN,SYBR,None,29.848722457885742,30.178939819335938,0.46699652075767517,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.960571598169778,3.86617112159729,3.3450925350189209,75.003547668457031,,,,N,N,N,N,N
96,H12,FALSE,+,A,UNKNOWN,SYBR,None,14.81654167175293,14.859933853149414,0.061366487294435501,,,,,,,,FALSE,0.10000000000000001,TRUE,3,10,Amp,,0.98510980521394798,5.6977725028991699,5.041806697845459,87.776321411132812,,,,N,N,N,N,N
