78,G6,FALSE,CR2Apal_36C_84,A,UNKNOWN,SYBR,None,25.009147644042969,24.642478942871094,0.51854652166366577,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95768378239506446,5.1064267158508301,4.5495643615722656,87.722122192382812,,,,N,N,Y,N,N
79,G7,FALSE,CR2Apal_36C_84,Apal,UNKNOWN,SYBR,None,19.386981964111328,19.478389739990234,0.12926876544952393,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.95390723732608129,4.3442420959472656,3.7339439392089844,74.981765747070312,,,,N,N,N,N,N
80,G8,FALSE,CR2Apal_36C_84,A,UNKNOWN,SYBR,None,24.275812149047852,24.642478942871094,0.51854652166366577,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94585317372793742,5.2235913276672363,4.6361474990844727,87.741714477539062,,,,N,N,Y,N,N
81,G9,FALSE,CR2Apal_36C_85,Apal,UNKNOWN,SYBR,None,19.944841384887695,20.16619873046875,0.31304657459259033,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9382011002930144,4.388577938079834,3.8125638961791992,75.136245727539062,,,,N,N,N,N,N
82,G10,FALSE,CR2Apal_36C_85,A,UNKNOWN,SYBR,None,24.212080001831055,24.30311393737793,0.12874142825603485,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95985308315888207,5.008143424987793,4.5250139236450195,87.765708923339844,,,,N,N,N,N,N
83,G11,FALSE,CR2Apal_36C_85,Apal,UNKNOWN,SYBR,None,20.387556076049805,20.16619873046875,0.31304657459259033,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.89972232240665428,4.433384895324707,3.5577433109283447,75.128738403320312,,,,N,N,N,N,N
84,G12,FALSE,CR2Apal_36C_85,A,UNKNOWN,SYBR,None,24.394147872924805,24.30311393737793,0.12874142825603485,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95414966312469285,5.0730466842651367,4.5908260345458984,87.749267578125,,,,N,N,N,N,N
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,No Amp,,0,0.43863508105278015,-0.0035680795554071665,80.456275939941406,85.7845458984375,61.947547912597656,77.511703491210938,Y,N,N,Y,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.33151057362556458,0.026847664266824722,59.9844970703125,,,,Y,Y,N,N,N
87,H3,FALSE,CR2Apal_36C_86,Apal,UNKNOWN,SYBR,None,22.330703735351562,22.354457855224609,0.033593397587537766,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95587397520960782,4.2846026420593262,3.8472886085510254,74.970672607421875,,,,N,N,N,N,N
88,H4,FALSE,CR2Apal_36C_86,A,UNKNOWN,SYBR,None,27.648544311523438,27.609966278076172,0.054557576775550842,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96433577672059312,4.6512241363525391,4.3363404273986816,87.719657897949219,,,,N,N,N,N,N
89,H5,FALSE,CR2Apal_36C_86,Apal,UNKNOWN,SYBR,None,22.378211975097656,22.354457855224609,0.033593397587537766,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93784642448011724,4.2761917114257812,3.8392186164855957,74.971450805664062,,,,N,N,N,N,N
90,H6,FALSE,CR2Apal_36C_86,A,UNKNOWN,SYBR,None,27.571388244628906,27.609966278076172,0.054557576775550842,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.98302729822346469,4.7757749557495117,4.3932409286499023,87.722122192382812,,,,N,N,N,N,N
91,H7,FALSE,CR2Apal_36C_87,Apal,UNKNOWN,SYBR,None,20.137950897216797,20.411201477050781,0.38643467426300049,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94541135799988951,4.2559776306152344,3.7154793739318848,74.981765747070312,,,,N,N,N,N,N
92,H8,FALSE,CR2Apal_36C_87,A,UNKNOWN,SYBR,None,25.561885833740234,25.585002899169922,0.032691117376089096,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.97300004204488821,4.8433651924133301,4.4160709381103516,87.741714477539062,,,,N,N,N,N,N
93,H9,FALSE,CR2Apal_36C_87,Apal,UNKNOWN,SYBR,None,20.684452056884766,20.411201477050781,0.38643467426300049,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95874681087318292,4.0190143585205078,3.6498034000396729,74.995925903320312,,,,N,N,N,N,N
94,H10,FALSE,CR2Apal_36C_87,A,UNKNOWN,SYBR,None,25.608118057250977,25.585002899169922,0.032691117376089096,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.98085135779053201,4.6466989517211914,4.2415556907653809,87.765708923339844,,,,N,N,N,N,N
95,H11,FALSE,+,Apal,UNKNOWN,SYBR,None,28.705059051513672,29.832466125488281,1.5943930149078369,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96852475022237305,3.9725396633148193,3.4826159477233887,74.988510131835938,,,,N,N,Y,N,N
96,H12,FALSE,+,A,UNKNOWN,SYBR,None,14.910199165344238,14.844003677368164,0.093614555895328522,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.98446636052086001,5.7303524017333984,5.1441659927368164,87.749267578125,,,,N,N,N,N,N
