78,G6,FALSE,CR2Apal_36C_139,A,UNKNOWN,SYBR,None,30.113567352294922,31.099725723266602,1.3946385383605957,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.95932841029371274,4.9192032814025879,4.4385547637939453,87.64691162109375,,,,N,N,Y,N,N
79,G7,FALSE,CR2Apal_36C_139,Apal,UNKNOWN,SYBR,None,24.430843353271484,24.487262725830078,0.079789042472839355,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94270675515555613,4.4125480651855469,3.983107328414917,74.954093933105469,,,,N,N,N,N,N
80,G8,FALSE,CR2Apal_36C_139,A,UNKNOWN,SYBR,None,32.085884094238281,31.099725723266602,1.3946385383605957,,,,,,,,FALSE,0.10000000000000001,TRUE,3,28,Amp,,0.95130822200379894,3.8628139495849609,3.4897251129150391,87.952133178710938,,,,N,N,Y,N,N
81,G9,FALSE,CR2Apal_36C_140,Apal,UNKNOWN,SYBR,None,18.476154327392578,18.381919860839844,0.13326631486415863,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.9501870843800283,4.3937506675720215,3.3512709140777588,74.971900939941406,,,,N,N,N,N,N
82,G10,FALSE,CR2Apal_36C_140,A,UNKNOWN,SYBR,None,21.520175933837891,21.659324645996094,0.19678734242916107,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.91320909893561864,6.0491447448730469,5.114354133605957,87.700706481933594,,,,N,N,N,N,N
83,G11,FALSE,CR2Apal_36C_140,Apal,UNKNOWN,SYBR,None,18.287687301635742,18.381919860839844,0.13326631486415863,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.98768058155182348,4.3455057144165039,3.4134013652801514,75.109481811523438,,,,N,N,N,N,N
84,G12,FALSE,CR2Apal_36C_140,A,UNKNOWN,SYBR,None,21.79847526550293,21.659324645996094,0.19678734242916107,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.92856974690888094,6.0248761177062988,5.2260341644287109,87.832023620605469,,,,N,N,N,N,N
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.43538138270378113,-0.0065570464357733727,74.116653442382812,87.684097290039062,84.150909423828125,79.487098693847656,Y,Y,N,Y,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.36952537298202515,-0.0054408968426287174,62.245140075683594,,,,Y,Y,N,N,N
87,H3,FALSE,CR2Apal_36C_141,Apal,UNKNOWN,SYBR,None,18.637378692626953,18.600120544433594,0.052690979093313217,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.95258015760080239,4.3231716156005859,3.5738151073455811,74.93682861328125,,,,N,N,N,N,N
88,H4,FALSE,CR2Apal_36C_141,A,UNKNOWN,SYBR,None,23.178615570068359,22.874422073364258,0.43019455671310425,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95348826628998018,5.8339271545410156,5.2639708518981934,87.636451721191406,,,,N,N,N,N,N
89,H5,FALSE,CR2Apal_36C_141,Apal,UNKNOWN,SYBR,None,18.562862396240234,18.600120544433594,0.052690979093313217,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.96379588712604614,4.3952832221984863,3.5322403907775879,74.941757202148438,,,,N,N,N,N,N
90,H6,FALSE,CR2Apal_36C_141,A,UNKNOWN,SYBR,None,22.570228576660156,22.874422073364258,0.43019455671310425,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.92251688714259827,6.0661406517028809,5.2483530044555664,87.64691162109375,,,,N,N,N,N,N
91,H7,FALSE,CR2Apal_36C_118,Apal,UNKNOWN,SYBR,None,25.167234420776367,25.138010025024414,0.041329536586999893,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95102394818885161,4.3257699012756348,3.9094443321228027,74.954093933105469,,,,N,N,N,N,N
92,H8,FALSE,CR2Apal_36C_118,A,UNKNOWN,SYBR,None,28.196250915527344,28.129547119140625,0.094334758818149567,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96512295938037473,5.1792917251586914,4.760775089263916,87.669563293457031,,,,N,N,N,N,N
93,H9,FALSE,CR2Apal_36C_118,Apal,UNKNOWN,SYBR,None,25.108785629272461,25.138010025024414,0.041329536586999893,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94849907515596799,4.1426753997802734,3.8679289817810059,74.971900939941406,,,,N,N,N,N,N
94,H10,FALSE,CR2Apal_36C_118,A,UNKNOWN,SYBR,None,28.062841415405273,28.129547119140625,0.094334758818149567,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96683842981115253,5.1952924728393555,4.7773752212524414,87.700706481933594,,,,N,N,N,N,N
95,H11,FALSE,+,Apal,UNKNOWN,SYBR,None,27.507143020629883,27.401767730712891,0.14902451634407043,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95006721565201058,4.1733784675598145,3.6253900527954102,74.968124389648438,,,,N,N,N,N,N
96,H12,FALSE,+,A,UNKNOWN,SYBR,None,14.915306091308594,14.886279106140137,0.04105035588145256,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.97874777120329937,6.3981013298034668,5.656226634979248,87.690658569335938,,,,N,N,N,N,N
