77,G5,FALSE,CR2Apal_36C_117,Apal,UNKNOWN,SYBR,None,22.329984664916992,22.43511962890625,0.14868463575839996,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95066638365943379,4.2273225784301758,3.8229806423187256,74.966842651367188,,,,N,N,N,N,N
78,G6,FALSE,CR2Apal_36C_117,A,UNKNOWN,SYBR,None,33.43023681640625,33.531082153320312,0.14261683821678162,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,Amp,,0.94106630286585069,3.0823523998260498,2.616037130355835,84.493484497070312,,,,N,N,N,N,N
79,G7,FALSE,CR2Apal_36C_117,Apal,UNKNOWN,SYBR,None,22.540256500244141,22.43511962890625,0.14868463575839996,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.9502625993057171,4.2853174209594727,3.8708276748657227,74.978897094726562,,,,N,N,N,N,N
80,G8,FALSE,CR2Apal_36C_117,A,UNKNOWN,SYBR,None,33.631927490234375,33.531082153320312,0.14261683821678162,,,,,,,,FALSE,0.10000000000000001,TRUE,3,28,Amp,,0.94003543650926669,2.8905637264251709,2.4976685047149658,84.65289306640625,,,,N,N,N,N,N
81,G9,FALSE,CR2Apal_36C_NEC_1,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.37374469637870789,-0.010959272272884846,84.253875732421875,87.761650085449219,75.835227966308594,94.075637817382812,Y,Y,N,Y,N
82,G10,FALSE,CR2Apal_36C_NEC_1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.36337795853614807,-0.0095816412940621376,89.445381164550781,82.289527893066406,79.342994689941406,70.36309814453125,Y,Y,N,Y,N
83,G11,FALSE,CR2Apal_36C_NEC_1,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.38694849610328674,-0.0070233820006251335,81.7154541015625,76.667778015136719,64.329010009765625,69.376686096191406,Y,Y,N,Y,N
84,G12,FALSE,CR2Apal_36C_NEC_1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.36118477582931519,-0.009906490333378315,83.257797241210938,76.387344360351562,89.006546020507812,61.664958953857422,Y,Y,N,Y,N
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,No Amp,,0,0.42312440276145935,-0.015044901520013809,63.628761291503906,,,,Y,N,N,N,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,No Amp,,0,0.36549314856529236,-0.038292009383440018,75.26556396484375,90.407424926757812,64.469978332519531,70.078071594238281,Y,N,N,Y,Y
87,H3,FALSE,CR2Apal_36C_NEC_2,Apal,UNKNOWN,SYBR,None,Undetermined,34.197208404541016,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.34774643182754517,-0.0016313511878252029,89.400909423828125,70.346656799316406,83.516510009765625,75.250320434570312,Y,Y,N,Y,Y
88,H4,FALSE,CR2Apal_36C_NEC_2,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.32781693339347839,-0.0031966767273843288,83.516510009765625,87.999862670898438,75.250320434570312,80.294097900390625,Y,Y,N,Y,N
89,H5,FALSE,CR2Apal_36C_NEC_2,Apal,UNKNOWN,SYBR,None,34.197208404541016,34.197208404541016,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.90263985152657999,2.4720385074615479,2.0481188297271729,74.6866455078125,,,,N,N,N,N,N
90,H6,FALSE,CR2Apal_36C_NEC_2,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.38282251358032227,-0.0091200266033411026,80.710845947265625,92.479042053222656,89.396896362304688,85.1939697265625,Y,Y,N,Y,N
91,H7,FALSE,CR2Apal_36C_NEC_BOAT_1,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.34012377262115479,-0.0028845225460827351,89.980606079101562,86.896141052246094,93.345474243164062,77.222145080566406,Y,Y,N,Y,N
92,H8,FALSE,CR2Apal_36C_NEC_BOAT_1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,4,No Amp,,0,0.37721863389015198,0.062628626823425293,89.980606079101562,79.044784545898438,86.615737915039062,62.781253814697266,Y,N,N,Y,N
93,H9,FALSE,CR2Apal_36C_NEC_BOAT_1,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,6,No Amp,,0,0.22217120230197906,0.056447010487318039,69.942169189453125,62.505691528320312,83.692634582519531,93.37408447265625,Y,N,N,Y,N
94,H10,FALSE,CR2Apal_36C_NEC_BOAT_1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,6,No Amp,,0,0.36396798491477966,0.077123165130615234,87.901962280273438,83.692634582519531,64.470046997070312,91.40972900390625,Y,N,N,Y,Y
95,H11,FALSE,+,Apal,UNKNOWN,SYBR,None,30.995258331298828,30.891965866088867,0.14607760310173035,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.95788961622572699,3.5622341632843018,3.0768439769744873,74.985214233398438,,,,N,N,N,N,N
96,H12,FALSE,+,A,UNKNOWN,SYBR,None,14.872096061706543,15.027631759643555,0.21996068954467773,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.98592766106494545,6.2599306106567383,5.5616579055786133,87.744621276855469,,,,N,N,N,N,N
